Day	Gigabases
2010-03-23	916.997688434
2010-03-24	417.88640254
2010-03-25	175.55186845
2010-03-26	285.92310833
2010-03-27	188.0011314
2010-03-29	224.69786254
2010-03-30	222.5749094
2010-03-31	373.98586238
2010-04-01	293.26712127
2010-04-02	354.092475
2010-04-03	218.8673636
2010-04-04	29.7195136
2010-04-06	328.97612423
2010-04-07	371.3868608
2010-04-08	194.693287
2010-04-09	390.4951458
2010-04-10	207.2834451
2010-04-11	46.23278792
2010-04-12	173.2300772
2010-04-13	617.03420365
2010-04-14	222.577847496
2010-04-15	311.806393585
2010-04-16	249.1834048
2010-04-17	397.7199482
2010-04-19	129.3039516
2010-04-20	312.4626812
2010-04-21	29.0408806
2010-04-22	265.007981965
2010-04-23	278.3626394
2010-04-24	327.986526
2010-04-26	92.251349
2010-04-27	607.174680835
2010-04-28	317.8819387
2010-04-30	248.25876092
2010-05-01	162.5851644
2010-05-02	249.7753234
2010-05-03	73.60065138
2010-05-04	447.918312598
2010-05-05	212.343874
2010-05-06	148.4599872
2010-05-07	428.2404268
2010-05-08	199.1319816
2010-05-10	518.9938202
2010-05-11	281.1646208
2010-05-12	233.381313199
2010-05-13	252.2808702
2010-05-14	230.628159328
2010-05-15	2.62024514
2010-05-16	100.7429968
2010-05-17	18.367607752
2010-05-18	389.773360477
2010-05-19	98.672222
2010-05-20	231.06234945
2010-05-21	295.42453425
2010-05-22	127.9553868
2010-05-24	320.5929918
2010-05-25	509.8119628
2010-05-26	89.6050806
2010-05-27	92.6348224
2010-05-28	211.5299332
2010-05-29	11.1531636
2010-06-01	425.2087994
2010-06-02	840.705186
2010-06-03	187.213853904
2010-06-04	207.5621368
2010-06-05	57.58536836
2010-06-06	127.59543
2010-06-07	275.251778
2010-06-08	108.6903674
2010-06-09	271.6298326
2010-06-10	5.18628
2010-06-11	61.3716221
2010-06-12	90.3304638
2010-06-13	268.4003916
2010-06-14	681.6411476
2010-06-15	66.3410406
2010-06-16	115.9518562
2010-06-17	187.4977654
2010-06-18	155.32759695
2010-06-19	298.15503315
2010-06-20	36.57687855
2010-06-21	192.4977168
2010-06-22	446.6611524
2010-06-23	309.1004756
2010-06-24	155.9756802
2010-06-25	125.8427222
2010-06-26	186.6828052
2010-06-27	185.3746448
2010-06-28	322.915842
2010-06-29	49.5148836
2010-06-30	173.3767368
2010-07-01	100.3218634
2010-07-02	17.4806504
2010-07-03	758.2013296
2010-07-04	44.3986356
2010-07-06	243.2348496
2010-07-07	339.8016938
2010-07-08	127.2839522
2010-07-09	106.1109962
2010-07-12	196.0962666
2010-07-13	751.6641488
2010-07-14	185.90801945
2010-07-15	231.0204214
2010-07-16	374.9655411
2010-07-17	119.7406802
2010-07-19	312.0068032
2010-07-20	417.949984
2010-07-21	195.5278714
2010-07-22	395.1279661
2010-07-23	156.3098396
2010-07-24	26.0801462
2010-07-25	53.8551802
2010-07-26	182.5405922
2010-07-27	422.4588206
2010-07-28	196.9907038
2010-07-29	724.491742972
2010-07-30	565.6006983
2010-07-31	357.9879274
2010-08-01	2.8449132
2010-08-02	86.55683695
2010-08-03	578.6065434
2010-08-04	485.553434
2010-08-05	234.284302498
2010-08-06	88.872573344
2010-08-09	136.094289
2010-08-10	231.8885856
2010-08-11	403.7553154
2010-08-12	473.3128584
2010-08-13	615.2681286
2010-08-14	255.4448864
2010-08-15	143.112311
2010-08-16	307.7789966
2010-08-17	397.5557336
2010-08-18	332.3745266
2010-08-19	196.3076134
2010-08-20	195.2255488
2010-08-21	202.8080162
2010-08-22	6.8603868
2010-08-23	593.4262052
2010-08-24	339.6068352
2010-08-25	137.713295
2010-08-26	359.6190194
2010-08-27	233.8268678
2010-08-28	19.8186324
2010-08-30	569.2507316
2010-08-31	303.7398158
2010-09-01	553.1173874
2010-09-02	16.2109908
2010-09-03	269.4155898
2010-09-04	150.0096974
2010-09-05	189.2862934
2010-09-07	554.0294156
2010-09-08	573.8661432
2010-09-09	330.789091452
2010-09-10	186.3021186
2010-09-11	97.7143378
2010-09-12	141.9461236
2010-09-13	355.019100018
2010-09-14	239.4483628
2010-09-15	157.2799514
2010-09-16	218.186680708
2010-09-17	55.0651554
2010-09-18	282.7929498
2010-09-19	228.308373
2010-09-20	618.13691
2010-09-21	307.254695
2010-09-22	303.621012
2010-09-23	251.7868886
2010-09-24	211.8215394
2010-09-25	79.1709026
2010-09-26	85.9912232
2010-09-27	408.3366292
2010-09-28	186.4136682
2010-09-29	581.2905218
2010-09-30	203.4797214
2010-10-01	227.6699032
2010-10-02	219.653208108
2010-10-03	160.6798634
2010-10-04	83.248388584
2010-10-05	402.528959
2010-10-06	227.2302032
2010-10-07	509.1973528
2010-10-08	419.0526746
2010-10-09	230.9486428
2010-10-11	458.3453928
2010-10-12	544.832323266
2010-10-13	137.7429366
2010-10-14	91.0612926
2010-10-15	111.2557446
2010-10-18	782.970436
2010-10-19	627.2315666
2010-10-20	680.4965704
2010-10-21	270.3592426
2010-10-22	210.7144774
2010-10-23	5.5117296
2010-10-24	118.1992274
2010-10-25	79.620989
2010-10-26	22.998359
2010-10-27	218.42196411
2010-10-28	413.96686
2010-10-29	949.757854
2010-10-30	5.604164
2010-10-31	212.4985238
2010-11-01	237.5117884
2010-11-02	168.9794862
2010-11-03	158.015778818
2010-11-04	52.261314
2010-11-05	50.6370834
2010-11-06	248.7081074
2010-11-07	396.6750214
2010-11-08	223.7156518
2010-11-09	239.4381866
2010-11-10	215.943521
2010-11-11	274.1604391
2010-11-12	170.287101
2010-11-13	313.315988112
2010-11-14	127.5664286
2010-11-15	245.5188658
2010-11-16	275.476483186
2010-11-17	233.4264746
2010-11-18	286.5568298
2010-11-19	223.6670038
2010-11-20	22.0780132
2010-11-21	302.8110616
2010-11-22	119.0014914
2010-11-23	295.9998762
2010-11-24	127.019322
2010-11-25	396.6585584
2010-11-26	60.458344
2010-11-27	266.72212
2010-11-28	316.3783598
2010-11-29	384.1591205
2010-11-30	217.1419154
2010-12-01	311.3672827
2010-12-02	197.3340486
2010-12-03	702.7100768
2010-12-04	591.1114456
2010-12-05	167.35810375
2010-12-06	383.423061316
2010-12-07	66.9397944
